inci_name,id,potency_tier,time_of_day,barrier_tax_score,sun_sensitivity
ammonium polyacryloyldimethyl taurate,394,1,ANY,0,False
polysorbate 80,395,1,ANY,0,False
pullulan,396,1,ANY,0,False
citrullus vulgaris watermelon fruit extract,397,1,ANY,0,False
hydrolyzed myrtus communis leaf extract,398,1,ANY,0,False
lens esculenta lentil fruit extract,399,1,ANY,0,False
tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate,400,1,ANY,0,False
magnesium chloride,401,1,ANY,0,False
polymethyl methacrylate,402,1,ANY,0,False
retinol,403,4,PM,4,True
myristoyl nonapeptide-3,404,1,ANY,0,False
acetyl dipeptide-1 cetyl ester,405,1,ANY,0,False
glycine soja soybean extract,406,1,ANY,0,False
sorbitan laurate,407,1,ANY,0,False
cetyl palmitate,408,1,ANY,0,False
hydrogenated polydecene,409,1,ANY,0,False
laureth-23,410,1,ANY,0,False
hydroxyethylcellulose,411,1,ANY,0,False
trideceth-6 phosphate,412,1,ANY,0,False
plankton extract,413,1,ANY,0,False
trifluoroacetyl tripeptide-2,414,1,ANY,0,False
hydrolyzed wheat protein,415,1,ANY,0,False
gold,416,1,ANY,0,False
argininelysine polypeptide,417,1,ANY,0,False
hydrolyzed rice protein,418,1,ANY,0,False
potassium palmitoyl hydrolyzed oat protein,419,1,ANY,0,False
avena sativa oat kernel extract,420,1,ANY,0,False
acetyl hydroxyproline,421,1,ANY,0,False
sodium ascorbate,422,1,ANY,0,False
sodium polyacrylate starch,423,1,ANY,0,False
dextran,424,1,ANY,0,False
citronellol,425,1,ANY,0,False
hydroxyisohexyl 3-cyclohexene carboxaldehyde,426,1,ANY,0,False
isostearyl neopentanoate,427,1,ANY,0,False
sorbitan stearate,428,1,ANY,0,False
di-c12-15 alkyl fumarate,429,1,ANY,0,False
hydrolyzed lupine protein,430,1,ANY,0,False
sigesbeckia orientalis extract,431,1,ANY,0,False
medicago sativa alfalfa extract,432,1,ANY,0,False
chamomilla recutita matricaria extract,433,1,ANY,0,False
citrullus lanatus watermelon fruit extract,434,1,ANY,0,False
synthetic fluorphlogopite,435,1,ANY,0,False
siloxanetriol alginate,436,1,ANY,0,False
tin oxide,437,1,ANY,0,False
glyceryl behenate,439,1,ANY,0,False
glyceryl caprylate,440,1,ANY,0,False
caesalpinia spinosa fruit pod extract,441,1,ANY,0,False
helianthus annuus sunflower sprout extract,442,1,ANY,0,False
microcrystalline cellulose,443,1,ANY,0,False
polyglyceryl-3 polyricinoleate,444,1,ANY,0,False
isostearic acid,445,1,ANY,0,False
calcium alginate,447,1,ANY,0,False
maltodextrin,448,1,ANY,0,False
fomes officinalis mushroom extract,449,1,ANY,0,False
sodium ascorbyl phosphate,450,1,ANY,0,False
biotin,451,1,ANY,0,False
eucalyptus globulus leaf oil,452,1,ANY,0,False
peg-40 hydrogenated castor oil,453,1,ANY,0,False
mannitol,454,1,ANY,0,False
hydrolyzed silk,455,1,ANY,0,False
potassium hydroxide,456,1,ANY,0,False
aqua water,457,1,ANY,0,False
polyacrylate crosspolymer-6,458,1,ANY,0,False
solanum lycopersicum tomato fruit extract,459,1,ANY,0,False
oenothera biennis evening primrose oil,460,1,ANY,0,False
macadamia ternifolia macadamia seed oil,461,1,ANY,0,False
salvia hispanica seed extract,462,1,ANY,0,False
ferulic acid,463,3,AM,1,False
hyaluronic acid,464,1,ANY,0,False
wheat amino acids,465,1,ANY,0,False
lactobacillus ferment,466,1,ANY,0,False
