product_id,ingredient_id,concentration_rank
P232327,1282,8
P232327,276,9
P232327,76,10
P232327,3881,11
P232327,162,12
P232327,1107,13
P232327,271,14
P232327,8,15
P232327,150,16
P232327,1750,17
P232327,4475,18
P232327,1751,19
P232327,413,20
P232327,86,21
P232327,152,22
P232327,336,23
P232327,332,24
P232327,1752,25
P232327,163,26
P232327,1303,27
P232327,2292,28
P232327,1415,29
P232327,1753,30
P232327,1685,31
P232327,29,32
P232327,1754,33
P232327,1755,34
P232327,93,35
P232327,24,36
P232327,1687,37
P232327,71,38
P232327,190,39
P232327,27,40
P232327,1654,41
P232327,57,42
P232327,34,43
P232327,291,44
P232327,1756,45
P232902,2048,1
P232902,176,2
P232902,4133,3
P232902,6,4
P232902,1067,5
P232902,4134,6
P232902,2320,7
P232902,45,8
P232902,166,9
P232902,30,10
P232902,881,11
P232902,359,12
P232902,57,13
P232902,4614,14
P232902,121,15
P232902,2259,16
P232902,665,17
P232902,28,18
P232902,68,19
P232902,42,20
P232903,2170,1
P232903,5950,2
P232903,616,3
P232903,3824,4
P232903,2080,5
P232903,321,6
P232903,243,7
P232903,968,8
P232906,4096,1
P232906,4027,2
P232906,77,3
P232906,4097,4
P232906,701,5
P232906,702,6
P232906,703,7
P232906,1844,8
P232906,6158,9
P232906,363,10
P232906,396,11
P232906,191,12
P232906,2396,13
P232906,8,14
P232906,4602,15
P232906,45,16
P232906,1873,17
P232906,201,18
P232906,1366,19
P232906,4098,20
P232906,2292,21
P232906,34,22
P232906,54,23
P232907,4108,1
P232907,6505,2
P232907,1059,3
P232907,4109,4
P232907,4110,5
P232907,4111,6
P232907,4112,7
P232907,136,8
P232907,428,9
P232907,4113,10
P232907,138,11
P232907,58,12
P232907,150,13
P232907,163,14
P232907,929,15
P232907,593,16
P232907,225,17
P232907,2734,18
P232907,17,19
P232907,674,20
P232907,56,21
P232907,422,22
P232907,30,23
P232907,1584,24
P232907,316,25
P232907,34,26
P232910,3,1
P232910,1077,2
P232910,150,3
P232910,3881,4
P232910,191,5
